Codigo,cluster
6644000274,3
6638300825,10
514804310,3
554101979,3
578904579,3
500204360,14
6827600717,3
505505479,20
541101579,20
6837700787,17
505905506,20
579204587,10
6640000716,5
503404432,3
515004584,20
524003744,3
534702192,10
6820700714,19
589002431,3
4465000286,5
1500100387,5
2724500014,10
4180100261,17
6878000747,18
560405509,20
7602001657,3
2316200705,5
1548000506,10
6831800721,19
7327000880,10
7312400743,13
1564600787,13
2579900056,3
567904582,14
4487400347,3
584206431,10
6800100792,5
1300101781,5
4700100650,5
6600100762,5
1580600677,29
6800100701,5
584704839,3
8100100061,16
1551400659,32
1522600733,30
542505105,20
4129800357,3
2586701909,17
500102178,6
4155100485,16
1911000005,3
1957307196,3
1579000702,32
1555000811,26
1980900064,13
5200101457,5
1900107547,5
1521500682,26
1518900596,35
1550000666,26
1583700709,31
1544200356,14
9500100003,5
1343000179,3
1523800685,3
1553701086,30
8500100144,3
6861500733,3
4100600410,3
6827100775,17
7070201040,14
575602394,3
4139600432,3
5235401414,17
1500100785,3
6842500789,18
1951700075,3
1549100708,31
877000360,17
2300100553,5
1547600373,32
1576300372,29
1583901058,31
4772000104,19
7611101705,3
7613003709,3
6852200043,18
6802000785,19
2307900552,13
2346400765,14
2368600453,3
2316200381,3
2358000773,3
2357000404,3
2366000317,3
2341700152,3
4100100451,5
1508700498,28
1509200215,33
7021500450,14
1365500312,10
1303000306,10
1376000294,10
1321200029,14
1306200314,18
1316000135,10
1345800222,19
1100130289,6
1100130291,6
1100130294,6
1100130296,6
2500100094,5
7300100771,5
7610906768,5
7652003029,5
1300100871,5
5060600634,5
5400100861,5
6600100332,5
4700100071,5
